exp,date,w,fss,q
EG2,2018-11-21T11:00:00Z,51,0.552773663037536,1
EG2,2018-11-21T11:00:00Z,101,0.598639885002356,1
EG2,2018-11-21T11:00:00Z,1,0.310116403802061,5
EG2,2018-11-21T11:00:00Z,5,0.455724814074693,5
EG2,2018-11-21T11:00:00Z,11,0.554697181807653,5
EG2,2018-11-21T11:00:00Z,51,0.872207114720252,5
EG2,2018-11-21T11:00:00Z,101,0.922993802937995,5
EG2,2018-11-21T11:00:00Z,1,0.232872766629717,10
EG2,2018-11-21T11:00:00Z,5,0.37308534155077,10
EG2,2018-11-21T11:00:00Z,11,0.458825900103539,10
EG2,2018-11-21T11:00:00Z,51,0.783855840599757,10
EG2,2018-11-21T11:00:00Z,101,0.774266515137052,10
EG2,2018-11-21T11:00:00Z,1,0.0818062296093104,25
EG2,2018-11-21T11:00:00Z,5,0.162280704234032,25
EG2,2018-11-21T11:00:00Z,11,0.179057890889006,25
EG2,2018-11-21T11:00:00Z,51,0.711957424854742,25
EG2,2018-11-21T11:00:00Z,101,0.709629975509981,25
EG2,2018-11-21T11:00:00Z,1,0,50
EG2,2018-11-21T11:00:00Z,5,0,50
EG2,2018-11-21T11:00:00Z,11,0,50
EG2,2018-11-21T11:00:00Z,51,0,50
EG2,2018-11-21T11:00:00Z,101,0,50
EG2,2018-11-21T12:00:00Z,1,0.158436113265332,1
EG2,2018-11-21T12:00:00Z,5,0.198697434133943,1
EG2,2018-11-21T12:00:00Z,11,0.217536089881554,1
EG2,2018-11-21T12:00:00Z,51,0.449979856228902,1
EG2,2018-11-21T12:00:00Z,101,0.537191720712234,1
EG2,2018-11-21T12:00:00Z,1,0.398577775601875,5
EG2,2018-11-21T12:00:00Z,5,0.535486589508339,5
EG2,2018-11-21T12:00:00Z,11,0.619080903568416,5
EG2,2018-11-21T12:00:00Z,51,0.877518184720201,5
EG2,2018-11-21T12:00:00Z,101,0.901784368888714,5
EG2,2018-11-21T12:00:00Z,1,0.239510498492142,10
EG2,2018-11-21T12:00:00Z,5,0.374401691909315,10
EG2,2018-11-21T12:00:00Z,11,0.455852245447315,10
EG2,2018-11-21T12:00:00Z,51,0.770677150109226,10
EG2,2018-11-21T12:00:00Z,101,0.761768975126188,10
EG2,2018-11-21T12:00:00Z,1,0.0905185498633942,25
EG2,2018-11-21T12:00:00Z,5,0.122513126485613,25
EG2,2018-11-21T12:00:00Z,11,0.129751619665062,25
EG2,2018-11-21T12:00:00Z,51,0.584043767032763,25
EG2,2018-11-21T12:00:00Z,101,0.568395286554733,25
EG2,2018-11-21T12:00:00Z,1,0,50
EG2,2018-11-21T12:00:00Z,5,0,50
EG2,2018-11-21T12:00:00Z,11,0,50
EG2,2018-11-21T12:00:00Z,51,0,50
EG2,2018-11-21T12:00:00Z,101,0,50
EG2,2018-11-21T13:00:00Z,1,0.204092421729791,1
EG2,2018-11-21T13:00:00Z,5,0.257660280251652,1
EG2,2018-11-21T13:00:00Z,11,0.270981500516069,1
EG2,2018-11-21T13:00:00Z,51,0.522961919403891,1
EG2,2018-11-21T13:00:00Z,101,0.613901199262007,1
EG2,2018-11-21T13:00:00Z,1,0.439748470719083,5
