exp,date,w,fss,q
E10,2018-11-22T18:00:00Z,1,0.380887834632328,25
E10,2018-11-22T18:00:00Z,5,0.459341672184561,25
E10,2018-11-22T18:00:00Z,11,0.508358830103511,25
E10,2018-11-22T18:00:00Z,51,0.58767598896964,25
E10,2018-11-22T18:00:00Z,101,0.589309751743128,25
E10,2018-11-22T18:00:00Z,1,0.191968658178257,50
E10,2018-11-22T18:00:00Z,5,0.238007491470748,50
E10,2018-11-22T18:00:00Z,11,0.27616934850104,50
E10,2018-11-22T18:00:00Z,51,0.311479231236963,50
E10,2018-11-22T18:00:00Z,101,0.283740664263739,50
E10,2018-11-22T19:00:00Z,1,0.551442569406641,1
E10,2018-11-22T19:00:00Z,5,0.638386536171968,1
E10,2018-11-22T19:00:00Z,11,0.683895864521957,1
E10,2018-11-22T19:00:00Z,51,0.830021270654299,1
E10,2018-11-22T19:00:00Z,101,0.855339204751214,1
E10,2018-11-22T19:00:00Z,1,0.520114786940278,5
E10,2018-11-22T19:00:00Z,5,0.610319730352251,5
E10,2018-11-22T19:00:00Z,11,0.659026573175203,5
E10,2018-11-22T19:00:00Z,51,0.779032972017508,5
E10,2018-11-22T19:00:00Z,101,0.80278131949725,5
E10,2018-11-22T19:00:00Z,1,0.484164105305359,10
E10,2018-11-22T19:00:00Z,5,0.569538636135985,10
E10,2018-11-22T19:00:00Z,11,0.618291007745961,10
E10,2018-11-22T19:00:00Z,51,0.729349045396261,10
E10,2018-11-22T19:00:00Z,101,0.756208345544949,10
E10,2018-11-22T19:00:00Z,1,0.392251329920707,25
E10,2018-11-22T19:00:00Z,5,0.477967717342264,25
E10,2018-11-22T19:00:00Z,11,0.525464750737938,25
E10,2018-11-22T19:00:00Z,51,0.598633694507305,25
E10,2018-11-22T19:00:00Z,101,0.606442293931592,25
E10,2018-11-22T19:00:00Z,1,0.179807349268641,50
E10,2018-11-22T19:00:00Z,5,0.224170980047674,50
E10,2018-11-22T19:00:00Z,11,0.253123723174715,50
E10,2018-11-22T19:00:00Z,51,0.287301542052835,50
E10,2018-11-22T19:00:00Z,101,0.264548674509927,50
E10,2018-11-22T20:00:00Z,1,0.564485029286572,1
E10,2018-11-22T20:00:00Z,5,0.650892860814954,1
E10,2018-11-22T20:00:00Z,11,0.693338510943577,1
E10,2018-11-22T20:00:00Z,51,0.832054453960875,1
E10,2018-11-22T20:00:00Z,101,0.858948627810233,1
E10,2018-11-22T20:00:00Z,1,0.526667998401918,5
E10,2018-11-22T20:00:00Z,5,0.615657618886318,5
E10,2018-11-22T20:00:00Z,11,0.661411935227827,5
E10,2018-11-22T20:00:00Z,51,0.771172650622687,5
E10,2018-11-22T20:00:00Z,101,0.79910953516616,5
E10,2018-11-22T20:00:00Z,1,0.481087762669963,10
E10,2018-11-22T20:00:00Z,5,0.56619856559156,10
E10,2018-11-22T20:00:00Z,11,0.609804744135108,10
E10,2018-11-22T20:00:00Z,51,0.697591153663388,10
E10,2018-11-22T20:00:00Z,101,0.726993443063956,10
E10,2018-11-22T20:00:00Z,1,0.348523985239852,25
E10,2018-11-22T20:00:00Z,5,0.424234130256751,25
E10,2018-11-22T20:00:00Z,11,0.465229058286596,25
E10,2018-11-22T20:00:00Z,51,0.534317046789543,25
E10,2018-11-22T20:00:00Z,101,0.546899755502215,25
E10,2018-11-22T20:00:00Z,1,0.192854884603225,50
E10,2018-11-22T20:00:00Z,5,0.249210552924065,50
E10,2018-11-22T20:00:00Z,11,0.277997412755844,50
E10,2018-11-22T20:00:00Z,51,0.295592876878274,50
E10,2018-11-22T20:00:00Z,101,0.281271699858096,50
E10,2018-11-22T21:00:00Z,1,0.568540964817838,1
E10,2018-11-22T21:00:00Z,5,0.65083533645313,1
E10,2018-11-22T21:00:00Z,11,0.692248818403515,1
E10,2018-11-22T21:00:00Z,51,0.827022380896925,1
E10,2018-11-22T21:00:00Z,101,0.853793447561892,1
E10,2018-11-22T21:00:00Z,1,0.505306434649584,5
E10,2018-11-22T21:00:00Z,5,0.590719082206241,5
E10,2018-11-22T21:00:00Z,11,0.634290023127468,5
E10,2018-11-22T21:00:00Z,51,0.73580876259085,5
E10,2018-11-22T21:00:00Z,101,0.765727905220594,5
E10,2018-11-22T21:00:00Z,1,0.458172005162501,10
E10,2018-11-22T21:00:00Z,5,0.538293794900701,10
E10,2018-11-22T21:00:00Z,11,0.576678437839909,10
E10,2018-11-22T21:00:00Z,51,0.652549655830847,10
E10,2018-11-22T21:00:00Z,101,0.685347064581826,10
E10,2018-11-22T21:00:00Z,1,0.386041971693509,25
E10,2018-11-22T21:00:00Z,5,0.459424299601957,25
E10,2018-11-22T21:00:00Z,11,0.49714417250168,25
E10,2018-11-22T21:00:00Z,51,0.56940854845286,25
E10,2018-11-22T21:00:00Z,101,0.591751569034691,25
E10,2018-11-22T21:00:00Z,1,0.241605456453305,50
E10,2018-11-22T21:00:00Z,5,0.313545481553576,50
E10,2018-11-22T21:00:00Z,11,0.350136138449606,50
E10,2018-11-22T21:00:00Z,51,0.397817405333689,50
E10,2018-11-22T21:00:00Z,101,0.394885393083878,50
E10,2018-11-22T22:00:00Z,1,0.550335570469799,1
E10,2018-11-22T22:00:00Z,5,0.626778099525972,1
E10,2018-11-22T22:00:00Z,11,0.668009209864228,1
E10,2018-11-22T22:00:00Z,51,0.799579628057637,1
E10,2018-11-22T22:00:00Z,101,0.82447461394354,1
E10,2018-11-22T22:00:00Z,1,0.463046332770587,5
E10,2018-11-22T22:00:00Z,5,0.537790024928777,5
E10,2018-11-22T22:00:00Z,11,0.573705350210569,5
E10,2018-11-22T22:00:00Z,51,0.662852783582534,5
E10,2018-11-22T22:00:00Z,101,0.694893273087572,5
E10,2018-11-22T22:00:00Z,1,0.447159437996335,10
E10,2018-11-22T22:00:00Z,5,0.520425389391411,10
E10,2018-11-22T22:00:00Z,11,0.554035832914678,10
E10,2018-11-22T22:00:00Z,51,0.628292411409169,10
E10,2018-11-22T22:00:00Z,101,0.660981486604567,10
E10,2018-11-22T22:00:00Z,1,0.403312444046553,25
E10,2018-11-22T22:00:00Z,5,0.477066972119391,25
E10,2018-11-22T22:00:00Z,11,0.514372728077081,25
E10,2018-11-22T22:00:00Z,51,0.586713267151848,25
E10,2018-11-22T22:00:00Z,101,0.609671942526563,25
E10,2018-11-22T22:00:00Z,1,0.2921875,50
E10,2018-11-22T22:00:00Z,5,0.369448837371944,50
E10,2018-11-22T22:00:00Z,11,0.409417891497548,50
E10,2018-11-22T22:00:00Z,51,0.479273952226976,50
E10,2018-11-22T22:00:00Z,101,0.486080248693567,50
E10,2018-11-22T23:00:00Z,1,0.495052882975094,1
E10,2018-11-22T23:00:00Z,5,0.560010849816999,1
E10,2018-11-22T23:00:00Z,11,0.596590032627033,1
E10,2018-11-22T23:00:00Z,51,0.715688273402869,1
E10,2018-11-22T23:00:00Z,101,0.745145770859935,1
E10,2018-11-22T23:00:00Z,1,0.461263834344877,5
E10,2018-11-22T23:00:00Z,5,0.530641888660292,5
E10,2018-11-22T23:00:00Z,11,0.563159939998076,5
E10,2018-11-22T23:00:00Z,51,0.647610950150938,5
E10,2018-11-22T23:00:00Z,101,0.681152146111442,5
E10,2018-11-22T23:00:00Z,1,0.444409695074277,10
E10,2018-11-22T23:00:00Z,5,0.514604564319217,10
E10,2018-11-22T23:00:00Z,11,0.548386125899838,10
E10,2018-11-22T23:00:00Z,51,0.626503215240078,10
E10,2018-11-22T23:00:00Z,101,0.658843836261733,10
E10,2018-11-22T23:00:00Z,1,0.403111543269899,25
E10,2018-11-22T23:00:00Z,5,0.475205481418217,25
E10,2018-11-22T23:00:00Z,11,0.511240124223005,25
E10,2018-11-22T23:00:00Z,51,0.586435691448588,25
E10,2018-11-22T23:00:00Z,101,0.605036900613912,25
E10,2018-11-22T23:00:00Z,1,0.314490848417433,50
E10,2018-11-22T23:00:00Z,5,0.392414625797216,50
E10,2018-11-22T23:00:00Z,11,0.433313641407687,50
E10,2018-11-22T23:00:00Z,51,0.505642124796659,50
E10,2018-11-22T23:00:00Z,101,0.51021603358424,50
E10,2018-11-23T00:00:00Z,1,0.475323268566786,1
E10,2018-11-23T00:00:00Z,5,0.531356356313738,1
E10,2018-11-23T00:00:00Z,11,0.563038387442007,1
E10,2018-11-23T00:00:00Z,51,0.672507762240815,1
E10,2018-11-23T00:00:00Z,101,0.704383705101439,1
E10,2018-11-23T00:00:00Z,1,0.457895186800034,5
E10,2018-11-23T00:00:00Z,5,0.522053229977957,5
E10,2018-11-23T00:00:00Z,11,0.553657043990165,5
E10,2018-11-23T00:00:00Z,51,0.637218049258359,5
E10,2018-11-23T00:00:00Z,101,0.669614164280428,5
E10,2018-11-23T00:00:00Z,1,0.438700663639539,10
E10,2018-11-23T00:00:00Z,5,0.504490557316733,10
E10,2018-11-23T00:00:00Z,11,0.534882443007074,10
E10,2018-11-23T00:00:00Z,51,0.609905462150359,10
E10,2018-11-23T00:00:00Z,101,0.639833791674345,10
